school,city,state,zip
Walnut Elementary School,Walnut ,CA ,91789-3108 
Mesa Elementary School,West Covina ,CA ,91791-2209 
"Global Village Academy, Aurora",Aurora,CO ,80017
Global Village Academy Aurua East & West Campus,Aurora ,CO ,80017-3900 
Colorado International Language Academy,Colorado Springs ,CO ,80918
Denver Language School,Denver ,CO ,80205
International School of Denver,Denver ,CO ,80230
Denver Language School,Denver ,CO ,80220-6019 
"Global Village Academy, Douglas County",Douglas County ,CO ,90234- 
AXIS International Academy,Ft. Collins,CO ,80525
"Global Village Academy, North",Thornton,CO ,80241
"Global Village Academy, Ft. Collins",Windsor ,CO ,80528-8900 
District of Columbia International School,Washington ,DC ,20012
Global Citizens Public Charter School,Washington ,DC ,20019
Washington Yu Ying Public Charter School,Washington ,DC ,20017-1009 
Socratic Language School,Washington DC,DC ,20016
Fifer Middle School,Camden ,DE ,19934
Allen J. Frear Elementary School,Camden ,DE ,19934-1935 
Postlethwait Middle School,Camden ,DE ,19934-1978 
McIlvaine Early Childhood Center,Magnolia ,DE ,19962-9304 
New Castle Elementary,New Castle,DE ,19720
Newark High School,Newark ,DE ,19711
Shue-Medill Middle School,Newark ,DE ,19711
John Downes Elementary,Newark ,DE ,19711- 
Cantwell's Bridge Middle School;,Townsend,DE ,19734
Old State Elementary School,Townsend,DE ,19734
Spring Meadow Early Childhood Center,Townsend,DE ,19734
Linden Hill Elementary,Wilmington ,DE ,19808-1701 
W.B. Simpson Elementry,Wyoming ,DE ,19934-1237 
Palm Bay Academy,Palm Bay ,FL ,32905-4102 
Panama City Trilingual School ,Panama,FL ,32401
Atlanta International School,Atlanta ,GA ,30305
Atlanta Trilingual Academy,Atlanta ,GA ,30331
Omni International School,Atlanta ,GA ,30331-7240 
GLOBE Academy,Atlanta ,GA ,30345-3534 
Yi Hwang Academy of Language Excellence,Duluth,GA ,30024
Dutchtown Elementary School,Hampton ,GA ,30228- 
International Charter School of Atlanta,Roswell ,GA ,30076-4949 
Haven Elementary School,Savanna,GA ,31405
Maryknoll School,Honolulu ,HI ,96822- 
Gateway School of Language and Culture,Boise ,ID ,83713-2634 
Rigby High School,Rigby ,ID ,83442
Rigby Middle School,Rigby ,ID ,83442
South Fork Elementary,Rigby ,ID ,83442-5422 
Barrington High School,Barrington ,IL ,60010
North Barrington Elementary,Barrington ,IL ,60010-1737 
Countryside Elementary ,Barrington ,IL ,60010-4055 
Station Middle School,Barrington ,IL ,60010-4627 
Early Learning Center,Barrington ,IL ,60010-5227 
Intercultural Montessori Language School ,Chicago ,IL ,60607-2895 
Cherokee Elementary School,Lake Forest ,IL ,60045-3155 
Addams Junior High School,Schaumburg,IL ,60193
Campanelli Elementary School,Schaumburg,IL ,60193
Barbara Rose Elementary School,South Barrington ,IL ,60010-9127 
Batesville Intermediate School,Batesville ,IN,47006
Batesville Middle School,Batesville ,IN,47006
Batesville Primary School,Batesville ,IN ,47006-9228 
International School of Indiana,Indianapolis ,IN ,46208-3324 
Overland Trail Middle School,Overland Park ,KS ,66209
Aubrey Bend Middle School,Overland Park ,KS ,66221
Wolf Springs Elementary School,Overland Park ,KS ,66221
Westdale Middle School,Baton Rouge,LA ,70806
Baton Rouge Foreign Language Academic Immersion Magnet ,Baton Rouge,LA ,70808
Cpl. Micheal Middlebrook Elementary ,Lafayette ,LA ,70508-6113 
ML King Immerson School,Cambridge ,MA ,02139-2951 
Pioneer Valley Chinese Immersion Charter School,Hadley ,MA ,01035-3535 
Baltimore International Academy,Baltimore ,MD ,21206-5133 
Paint Branch Elementary ,College Park ,MD ,20740-2528 
Braddock Middle School ,Cumberland ,MD ,21502
West Side Elementary,Cumberland ,MD ,21502-2818 
Reid Temple Christian Academy,Glenn Dale ,MD ,20769-9049 
Potomac Elementary School,Potomac ,MD ,20854-4913 
Bayard Rustin Elementary School,Rockville ,MD ,20852
Herbert Hoover Middle School,Rockville ,MD ,20852-3741 
Northern Hills High School,Grand Rapids ,MI ,49525
Northern Hills Middle School,Grand Rapids ,MI ,49525-3369 
Meadow Brook Elementary School,Grand Rapids ,MI ,49546-6230 
Forest Hills Northern Trails,Grand Rapids ,MI ,49546-6428 
Northern Trails ,Grand Rapids ,MI ,
Greenville High School,Greenville ,MI ,48838
Greenville Middle School,Greenville ,MI ,48838
Walnut Hills Elementary School,Greenville ,MI ,48838-1462 
 Holland Christian High School,Holland,MI ,49423
Pattengill Academy,Lansing ,MI ,48912-2309 
Post Oak Magnet School,Lansing ,MI ,48912-3540 
Faxon Language Immersion Academy,Southfield,MI ,48076
Oakbrook Elementary School,Sterling Heights ,MI ,48312-2173 
Zeeland Christian School,Zeeland ,MI ,49464-1502 
Excelsior Elementary School,Excelsior ,MN ,55331-3035 
Middle School West,Excelsior ,MN ,55331-8028 
Scenic Heights Elementary School,Excelsior ,MN ,70501- 
Lakes International Language Academy246 11th Avenue SE,Forest Lake ,MN ,55025-1883 
Lakes International Language Academy,Forest Lake ,MN ,
West Junior High,Hopkins ,MN ,55305
Hopkins High School,Hopkins ,MN ,55305 |
Xin Xing Academy,Hopkins ,MN ,55305-4737 
Justice Allen Page Elementary,Maplewood,MN ,
Yinghua Academy Charter School,Minneapolis ,MN ,55413-1609 
Middle School East,Minnetonka ,MN ,55345-2530 
Minnetonka High School,Minnetonka ,MN ,55345-4114 
Apollo High School ,Saint Cloud ,MN ,56303
North Junior High School,Saint Cloud ,MN ,56303
Guang Ming Academy (Madison Elementary),Saint Cloud ,MN ,56303-2301 
Highland Park High School,Saint Paul ,MN ,55116
Jie Ming Mandarin Immersion,Saint Paul ,MN ,55116
St. Louis Immersion Schools: The Chinese School,Saint Louis ,MO ,63110
